z,logMstar,logSFR,source
10,5.374414976599064,-2.7704918032786887,hyper-sn (teal)
10,5.383775351014041,-2.7581967213114753,hyper-sn (teal)
10,5.393135725429017,-2.745901639344262,hyper-sn (teal)
10,5.402496099843994,-2.7336065573770494,hyper-sn (teal)
10,5.41185647425897,-2.721311475409836,hyper-sn (teal)
10,5.4212168486739465,-2.7090163934426226,hyper-sn (teal)
10,5.430577223088924,-2.6844262295081966,hyper-sn (teal)
10,5.4399375975039,-2.6721311475409832,hyper-sn (teal)
10,5.4492979719188765,-2.635245901639344,hyper-sn (teal)
10,5.458658346333853,-2.6229508196721314,hyper-sn (teal)
10,5.46801872074883,-2.610655737704918,hyper-sn (teal)
10,5.477379095163807,-2.5983606557377046,hyper-sn (teal)
10,5.486739469578783,-2.586065573770492,hyper-sn (teal)
10,5.496099843993759,-2.5737704918032787,hyper-sn (teal)
10,5.505460218408737,-2.5614754098360653,hyper-sn (teal)
10,5.514820592823713,-2.5491803278688527,hyper-sn (teal)
10,5.5241809672386895,-2.5491803278688527,hyper-sn (teal)
10,5.533541341653666,-2.5368852459016393,hyper-sn (teal)
10,5.542901716068643,-2.524590163934426,hyper-sn (teal)
10,5.5522620904836195,-2.524590163934426,hyper-sn (teal)
10,5.561622464898596,-2.5122950819672134,hyper-sn (teal)
10,5.570982839313572,-2.5122950819672134,hyper-sn (teal)
10,5.580343213728549,-2.5,hyper-sn (teal)
10,5.589703588143526,-2.4877049180327866,hyper-sn (teal)
10,5.599063962558502,-2.4877049180327866,hyper-sn (teal)
10,5.608424336973479,-2.475409836065574,hyper-sn (teal)
10,5.617784711388456,-2.4631147540983607,hyper-sn (teal)
10,5.627145085803432,-2.4631147540983607,hyper-sn (teal)
10,5.636505460218409,-2.4508196721311473,hyper-sn (teal)
10,5.645865834633385,-2.4385245901639347,hyper-sn (teal)
10,5.655226209048362,-2.4385245901639347,hyper-sn (teal)
10,5.664586583463339,-2.4262295081967213,hyper-sn (teal)
10,5.673946957878315,-2.4262295081967213,hyper-sn (teal)
10,5.683307332293292,-2.413934426229508,hyper-sn (teal)
10,5.692667706708268,-2.4016393442622954,hyper-sn (teal)
10,5.702028081123245,-2.4016393442622954,hyper-sn (teal)
10,5.711388455538222,-2.389344262295082,hyper-sn (teal)
